latitude,stop_id,longitude,stop_name
46.0356131885114,2021,14.5237769348064,Rakovnik
46.0320795364951,2023,14.5290982905482,Akademija
46.0302659686408,2025,14.5317593452538,Peruzzijeva
46.0280429889558,2027,14.5355323015909,Gornji Rudnik
46.022754200005,2029,14.5404867282094,Spodnji Rudnik
46.0177844342114,2030,14.5438013202765,RUDNIK
46.0176125578445,3508,14.543262719638,Rudnik
46.0064156609062,3490,14.5483521950888,Pod Hribom
46.0014733378539,3502,14.5542211882784,Lavrica pri Malči
45.9969844846173,3504,14.5579402135546,Lavrica
45.9895460800128,3496,14.5662406467799,Škofljica Petkovšek
45.9858828595104,3498,14.5715946058733,Škofljica žaga
45.9793134992194,3501,14.5753495637609,ŠKOFLJICA
45.9844801258618,3500,14.5744781979353,Škofljica Špica
