group_name,int_id,id,length,parent_name,route_name,route_parent_id,opposite_route_int_id
40,1406,04ff73b9-10c3-4f6e-baf3-68d81281c427,10946.351793210239,Strahomer - Tomišelj A.-Iška Loka-Ig,Ig,94a85071-7cb7-4bb2-b9a4-6babc7b352de,
40,1407,5d204a97-73a5-4b05-8e0e-27424a27ef47,10747.046134737624,Ig-Iška Loka-Tomišelj A-Strahomer,Strahomer,880d77c5-009a-4f4c-98b3-b592aaee0deb,
6,1409,662a3600-8a23-40f4-8d77-b3d0d4afeab9,13977.090649557043,B NOTRANJE GORICE - BEŽIGRAD,B BEŽIGRAD;  osnovna,12015622-67d5-47e9-8fd6-7babf629179d,1563
18,1410,f030eb3d-c4e3-4b80-a6ec-d0f27129eb1c,7531.5979749424905,L KOLODVOR - LITOSTROJSKA,L LITOSTROJSKA;  osnovna,4ed9b1f1-27f0-4f2d-a451-14c45db58d9b,1411
18,1411,8eb8e43c-4612-4590-9346-fede1828318b,7556.210168946065,L LITOSTROJSKA - KOLODVOR,L KOLODVOR;  osnovna,716b9bfe-50a2-4bf7-be09-71d755c055e7,1410
18,1412,e5ba236e-2da5-43d1-ad22-e7d65e9ae79d,8869.3085009717,CENTER STOŽICE P+R - GARAŽA,GARAŽA;  osnovna,cfda22cb-6955-4eac-981d-a6291c0caffc,
21,1418,0b88004a-5518-4c5b-81bb-c25d12cf909f,16750.705593018956,BERIČEVO - GARAŽA,GARAŽA;  osnovna,db167128-a273-46a6-b588-a4ad1a641304,
70,1434,3b145d8f-bd2d-479c-a036-2ac682c86409,6052.037818899904,B METNAJ-IVANČNA GORICA ŠC,METNAJ,0fac63c0-4b4a-4a30-8d73-8957d809c8b2,
70,1435,80c34188-5406-4cbd-a1c5-5d244c43bc01,3918.120516262755,I IVANČNA GORICA ŠC-MALA DOBRAVA,IVANČNA GORICA ŠC,79aa9bee-d5f4-4ba7-8877-7e8a180bedca,
46,1436,30c56265-2b4f-4ebf-970a-53e983fc34d1,25406.499030323146,Žiri - Smrečje - Vrhnika Jazon,Vrhnika,4b778167-0007-4d63-9d83-b66d1d55b0eb,
46,1437,a721194e-c368-4ec1-9a6d-78ad036e3c11,24992.822437746076,Vrhnika Jazon - Smrečje - Žiri,Žiri,69a49247-a530-470d-b3db-5062ecde7917,
11,1445,e2001393-b06a-4a9d-a1fc-380c4dc8c6c2,17980.110111634047,ZALOG - JEŽICA P+R,JEŽICA P+R;  osnovna,1d207f8c-a527-4124-b4bb-f8024747454b,1568
11,1446,9a12aa9f-3430-4892-80ff-48d63ac03c08,8021.223034928717,JEŽICA P+R - GARAŽA,GARAŽA;  osnovna,0b58bfad-32dc-4a7d-af01-9b29c29fb5f2,
21,1451,06d44d04-9bf7-4de4-81b0-3625049a1ef2,14147.29556151526,BERIČEVO - GAMELJNE,GAMELJNE;  osnovna,3ceafaac-854e-46ef-a59b-27dbf080e51a,1452
